Username,Comment,Rating,Time,IdProduct
nhungviolet275,Hàng chuẩn không có gì bàn cãi. Mỗi tội đợi hàng hơi sốt ruột. Shop đóng hàng cẩn thận.,5,2021-12-22 07:21:36,10753341705
t*****3,Lần đầu mua đồ điện tử trên shopee mà ưng quá tr🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳,5,2021-12-18 21:06:54,10753341705
c*****y,"Hàng giao nhanh lắm, đóng gói cẩn thận, màu hồng xinh xỉu lun í",5,2022-01-03 14:49:12,10753341705
quin.nhuu,"lần đầu đặt đồ mắc tiền trên shopee nên cũng hơi lo mà về thì sản phẩm rất tốt, nhìn thì không thấy nhãn fpt như mấy bạn đánh giá trên mà shopee mall nên cũng yên tâm, giao hàng hơi chậm từ hn về bến tre tạn 7 ngày",5,2022-01-08 08:59:23,10753341705
k*****5,"Giao hàng lâu. Hàng chính hãng nhưng k săn đc giá tốt
Huụhu kkkk",5,2021-12-23 08:37:17,10753341705
hothuy79911810,"Chuẩn bị hàng và giao lâu
Hàng mall nên khá yên tâm
Dbcnncmcncmncccncnnc",5,2021-12-26 12:07:18,10753341705
bichngoc305,Ip màu hồng đúng là k làm mình thất vọng săn mấy hôm mới bắt đc e nó . Shop đóng gói hàng cẩn thận máy có tem niêm phong của fpt mới dùng thấy cũng OK nhưng bạn ship hàng ngộ ghê. Điện thoại mấy chục triệu mà ko giao tận tay khách định vứt hàng dưới sảnh chung cư cho mình chứ. Shop gửi mình hđ đt đi,5,2021-12-19 11:18:58,10753341705
nhanduyanh,"Lần thứ 2 mua, shop mall nên yên tâm. Canh 12/12 mua để giảm thì không có màu mong muốn. Qua ngày thường thì giá cũng y vậy mà có đủ màu giá cũng 22tr. Ai muốn lựa màu thì chịu khó theo dõi giá giảm rồi mua thôi không cần phải vào ngày Flash sale của tháng.",5,2021-12-24 08:40:33,10753341705
t*****2,"là 1 trong rất ít người đặt hàng iphone đợt đầu mà đã nhận đc hàng 
nói chung là ngon lành
cơ mà shop xuất cho e cái hóa đơn điện tử đi ạ",5,2021-10-28 02:53:16,10753341705
phantiendat1984,Giao hàng nhanh. Săn dc voucher giảm giá khá tốt. Hàng chính hãng VN/A. Rất hài lòng,5,2021-10-26 21:17:29,10753341705
kimhong161100,,5,2021-12-03 10:19:13,10753341705
nvruon,"Mua chiếc là chiếc thứ 2. Vẫn chất lượng như vậy. Dự sẽ săn tới airpod hịihi. Iphone 13 128G, được giới thiếu quá ổn",5,2021-12-25 16:55:51,10753341705
t*****g,Ship nhanh - giá tốt mà quên mất mấy hôm sau black friday có giá tốt hơn :( nói chung mua ở đây 12 -13 đều ok,5,2021-12-08 09:41:44,10753341705
tonytong93,"MUa ip với watch thì bị lỗi cái watch,shop nt rep lâu,,,,,,,,,,,",3,2021-12-07 18:54:36,10753341705
botmun33,"Sản phẩm ok 
Rất đẹp
Mà bh ko biết sao
☺️☺️☺️☺️☺️☺️☺️🎁🎁🎁🎁🎁🎁🎁🎁🎁🎁🎁🎁🎁🎁🎁🎁",5,2021-11-23 16:54:02,10753341705
n*****y,chất lượng sản phẩm tuỵte vời màu lên đúngvys nói chung là okokok,5,2021-11-23 20:21:22,10753341705
d*****2,Hàng chính hãng nguyên seal. Mới dùng nên chưa thấy có vấn đế gì. Nhưng mà shop gửi cho em hoá đơn điện tử đi ạ,5,2021-11-15 23:16:04,10753341705
