Username,Comment,Rating,Time,IdProduct
phungnpt,"Đt đẹp, mượt mà, loa lớn, cảm biến vân tay nhạy, kết nối tivi nhanh, nói chung mình ưng ý. Mua đt trên shopee mà mình an tâm ghê.",5,2021-02-25 12:36:04,3355289986
v*****n,Đóng gói hàng cẩn thận trả lời tin nhắn nhanh. Hàng nguyên seal thêm tai nghe nữa là ok điện thoại đẹp hợp giá tiền ,5,2021-02-27 21:46:38,3355289986
cana2407,"Mua dc giá sale, điện thoại thì đẹp lắm luôn, shop giao hàng nhanh, mới trải nghiệm thì thấy dt mượt, xài ok.",5,2020-11-14 23:27:14,3355289986
hanhhm90,Đúng chất nguyên seal. Hàng mới đẹp. Bảo hành 12 tháng. Nhưng mà kích hoạt bảo hành ntn? Mí ghi v30i 2019 mặc dù sx 12.10.2020,5,2020-10-27 22:21:50,3355289986
nam6058,"Hàng giao y như mô tả, chuẩn zin bóc hộp. Chưa biết chất lượng độ bền ra sao. Sạc đầy dùng vào mạng lướt web từ sáng tới giờ 12 tiếng rồi mới hết 50% pin....",5,2021-01-01 18:26:52,3355289986
p*****7,"Hàng nguyên seal, giao hàng nhanh, cskh nhiệt tình, mua giá ưu đãi chỉ có 2tr7 thôi quá rẻ. Sẽ tiếp tục ủng hộ shop nha kskslslslslslsksnxnxkxksksksnsksksksksndnxnxmxkxkdkskksksksmsmsmmsmsksksksksksksmmsmsks",5,2021-03-14 21:10:02,3355289986
saclay,"Mình mua nhiều lần bên shop rồi chưa lần nào thấy không hài lòng, lần nào cũng ok, hàng ổn giá phải chăng...  giao hàng nhanh, gói hàng cẩn thận.... ",5,2020-11-16 15:09:32,3355289986
maymayngocquyen6556,"Hàng đẹp nguyên seal. Rẻ nên k yêu cầu cao được. Chụp ảnh màu hơi mờ, cảm ứng cũng k nhạy lắm. Shop đóng hàng cẩn thận, đẹp.",5,2021-03-05 21:57:17,3355289986
thanh.200196,"Màn hình to, thiết kế đẹp, loa nghe cũng to hay. Camera mình thấy chụp ko rõ nét, cảm ứng có khi không nhạy. Pin mình dùng mỗi ngày khoảng 6-7 tiếng thì 2 ngày là hết. Nói chung tạm ổn thôi ko như mong đợi lắm ",4,2021-02-07 19:30:08,3355289986
k*****o,"Sản phẩm đẹp, hàng mới nguyên kiện, hy vọng sử dụng tốt như ý muốn",5,2020-11-18 17:35:18,3355289986
haiblue89,Máy đẹp dùng mượt mà. Còn bền hay ko phải thời gian mới biết đc.,5,2021-01-31 09:29:27,3355289986
h*****8,"Đẹp, giá sale mang lại một deal khá tốt cho dòng sản phẩm này.",5,2020-11-17 01:28:11,3355289986
kemsusg,"Pin xài đc 2ngày sạc hơi lâu vs nóng máy
Chơi game hay vô shopee hơi bị lag k biết do mạng hay do máy nữa 😅
Camera chụp k đẹp 
Cảm biến vân tay rất nhạy
Nhưng nhìn chung máy xài tốt so vs mức giá
Mong sẽ bền
Chúc shop bán đắt
",5,2021-03-19 11:48:51,3355289986
h*****6,"Điện thoại đẹp, còn nguyên trong hộp, mua được trong sale nên giá rẻ hơn bình thường, giao hàng nhanh.",5,2021-02-19 11:39:01,3355289986
ngocanh_2511,"Dien thoai dep, man hinh muot, moi thu rat ok, con su dung lau dai thi chua biet ntn",5,2021-01-30 13:26:02,3355289986
b*****9,Mới nhận được điện thoại.màu đẹp.dễ sử dụng.mới xem sơ qua thì giống quảng cáo.còn bền hay k pải sử dụng mới đánh giá tiếp được,5,2020-12-04 12:38:57,3355289986
leductai1994,"Máy mới đập hộp sướng tay, các ứng dụng đều hoạt động tốt, ko biết bền ko nhưng giá tiền quá ok, màu sắc đẹp kinh khủng 😍😍😍",5,2021-02-22 12:07:36,3355289986
t*****8,Điện thoại đẹp. Camera chụp hk nét lắm. Cầm khá nặng tay.....,5,2020-11-15 00:26:03,3355289986
bebepy,Giao hành nhanh. Mua sale 2790k. Còn lại fai xài mới bjk ........................................................,5,2021-03-05 12:09:24,3355289986
1908.1986,"Sản phẩm ổn, giao hàng nhanh, đóng gói cẩn thận. 
Tốt trong tầm giá. ",5,2021-01-04 19:57:47,3355289986
anhdaondt,"Đẹp đóng gói cẩn thận , giá cả phù hợp 😳😳😳😭😳😳😳😳😳😳😳😭🤔😭😁😁😁😁😭😭😁",5,2021-01-05 17:59:33,3355289986
tangquyenchi,"Giao hàng nhanh, đúng mẫu, đúng màu, nguyên seal, phụ kiện đầy đủ. ",5,2020-11-07 18:55:34,3355289986
